70BCSVG	
// AQ6370C OPTICAL SPECTRUM ANALYZER //                 
"[MEAS SETTING]"
// AQ6370C OPTICAL SPECTRUM ANALYZER //                 
25
"CTRWL",1550.000000
"SPAN", 100.000000
"START WL",1500.000000
"STOP WL",1600.000000
"WLFREQ", 0
"REFL",-58.5
"LSCL", 3.0
"RESLN",0.500
"AVG",   1
"SMPLAUTO",      1
"SMPL",       1001
"SMPLINTVL",0.1000
"HIGH2"
"MEAS"
"LSUNT",0
"NMSKV","OFF"
"RESCOR",0
"SMOOTH",0
"FIBERTYPE",0
"MEASWL",1
"SWPSPD",1
"RESPARM", 9829
"FREQPARM", 9829


"[TRACE SETTING]"
"ACTIVE","G"
"TRACE A","FIX      ",1
"TRACE B","FIX      ",1
"TRACE C","FIX      ",1
"TRACE D","FIX      ",1
"TRACE E","FIX      ",1
"TRACE F","FIX      ",1
"TRACE G","FIX      ",1

"[TRACE A]"
// AQ6370C OPTICAL SPECTRUM ANALYZER //                 
25
"CTRWL",1550.000000
"SPAN", 100.000000
"START WL",1500.000000
"STOP WL",1600.000000
"WLFREQ", 0
"REFL",-58.5
"LSCL", 3.0
"RESLN",0.500
"AVG",   1
"SMPLAUTO",      1
"SMPL",       1001
"SMPLINTVL",0.1000
"HIGH2"
"MEAS"
"LSUNT",0
"NMSKV","OFF"
"RESCOR",0
"SMOOTH",0
"FIBERTYPE",0
"MEASWL",1
"SWPSPD",1
"RESPARM", 9829
"FREQPARM", 9829


"[TRACE B]"
// AQ6370C OPTICAL SPECTRUM ANALYZER //                 
25
"CTRWL",1550.000000
"SPAN", 100.000000
"START WL",1500.000000
"STOP WL",1600.000000
"WLFREQ", 0
"REFL",-58.5
"LSCL", 3.0
"RESLN",0.500
"AVG",   1
"SMPLAUTO",      1
"SMPL",       1001
"SMPLINTVL",0.1000
"HIGH2"
"MEAS"
"LSUNT",0
"NMSKV","OFF"
"RESCOR",0
"SMOOTH",0
"FIBERTYPE",0
"MEASWL",1
"SWPSPD",1
"RESPARM", 9829
"FREQPARM", 9829


"[TRACE C]"
// AQ6370C OPTICAL SPECTRUM ANALYZER //                 
25
"CTRWL",1550.000000
"SPAN", 100.000000
"START WL",1500.000000
"STOP WL",1600.000000
"WLFREQ", 0
"REFL",-58.5
"LSCL", 3.0
"RESLN",0.500
"AVG",   1
"SMPLAUTO",      1
"SMPL",       1001
"SMPLINTVL",0.1000
"HIGH2"
"MEAS"
"LSUNT",0
"NMSKV","OFF"
"RESCOR",0
"SMOOTH",0
"FIBERTYPE",0
"MEASWL",1
"SWPSPD",1
"RESPARM", 9829
"FREQPARM", 9829


"[TRACE D]"
// AQ6370C OPTICAL SPECTRUM ANALYZER //                 
25
"CTRWL",1550.000000
"SPAN", 100.000000
"START WL",1500.000000
"STOP WL",1600.000000
"WLFREQ", 0
"REFL",-58.5
"LSCL", 3.0
"RESLN",0.500
"AVG",   1
"SMPLAUTO",      1
"SMPL",       1001
"SMPLINTVL",0.1000
"HIGH2"
"MEAS"
"LSUNT",0
"NMSKV","OFF"
"RESCOR",0
"SMOOTH",0
"FIBERTYPE",0
"MEASWL",1
"SWPSPD",1
"RESPARM", 9829
"FREQPARM", 9829


"[TRACE E]"
// AQ6370C OPTICAL SPECTRUM ANALYZER //                 
25
"CTRWL",1550.000000
"SPAN", 100.000000
"START WL",1500.000000
"STOP WL",1600.000000
"WLFREQ", 0
"REFL",-58.5
"LSCL", 3.0
"RESLN",0.500
"AVG",   1
"SMPLAUTO",      1
"SMPL",       1001
"SMPLINTVL",0.1000
"HIGH2"
"MEAS"
"LSUNT",0
"NMSKV","OFF"
"RESCOR",0
"SMOOTH",0
"FIBERTYPE",0
"MEASWL",1
"SWPSPD",1
"RESPARM", 9829
"FREQPARM", 9829


"[TRACE F]"
// AQ6370C OPTICAL SPECTRUM ANALYZER //                 
25
"CTRWL",1550.000000
"SPAN", 100.000000
"START WL",1500.000000
"STOP WL",1600.000000
"WLFREQ", 0
"REFL",-58.5
"LSCL", 3.0
"RESLN",0.500
"AVG",   1
"SMPLAUTO",      1
"SMPL",       1001
"SMPLINTVL",0.1000
"HIGH2"
"MEAS"
"LSUNT",0
"NMSKV","OFF"
"RESCOR",0
"SMOOTH",0
"FIBERTYPE",0
"MEASWL",1
"SWPSPD",1
"RESPARM", 9829
"FREQPARM", 9829


"[TRACE G]"
// AQ6370C OPTICAL SPECTRUM ANALYZER //                 
25
"CTRWL",1550.000000
"SPAN", 100.000000
"START WL",1500.000000
"STOP WL",1600.000000
"WLFREQ", 0
"REFL",-58.5
"LSCL", 3.0
"RESLN",0.500
"AVG",   1
"SMPLAUTO",      1
"SMPL",       1001
"SMPLINTVL",0.1000
"HIGH2"
"MEAS"
"LSUNT",0
"NMSKV","OFF"
"RESCOR",0
"SMOOTH",0
"FIBERTYPE",0
"MEASWL",1
"SWPSPD",1
"RESPARM", 9829
"FREQPARM", 9829


"[TRACE DATA]"
"Tr A(WL)","Tr A(LEVEL)[LOG]","Tr B(WL)","Tr B(LEVEL)[LOG]","Tr C(WL)","Tr C(LEVEL)[LOG]","Tr D(WL)","Tr D(LEVEL)[LOG]","Tr E(WL)","Tr E(LEVEL)[LOG]","Tr F(WL)","Tr F(LEVEL)[LOG]","Tr G(WL)","Tr G(LEVEL)[LOG]"
1500.0000, -81.940, 1500.0000, -81.632, 1500.0000, -81.094, 1500.0000, -80.853, 1500.0000, -80.817, 1500.0000, -80.341, 1500.0000, -79.815
1500.1000, -81.864, 1500.1000, -81.852, 1500.1000, -81.314, 1500.1000, -80.801, 1500.1000, -80.328, 1500.1000, -80.085, 1500.1000, -79.686
1500.2000, -81.503, 1500.2000, -81.167, 1500.2000, -80.864, 1500.2000, -80.441, 1500.2000, -80.185, 1500.2000, -80.195, 1500.2000, -79.863
1500.3000, -81.682, 1500.3000, -81.578, 1500.3000, -80.589, 1500.3000, -80.402, 1500.3000, -80.326, 1500.3000, -79.909, 1500.3000, -79.402
1500.4000, -81.520, 1500.4000, -80.964, 1500.4000, -80.134, 1500.4000, -80.216, 1500.4000, -79.742, 1500.4000, -79.497, 1500.4000, -79.535
1500.5000, -81.207, 1500.5000, -80.819, 1500.5000, -80.240, 1500.5000, -79.828, 1500.5000, -79.917, 1500.5000, -79.332, 1500.5000, -79.027
1500.6000, -81.179, 1500.6000, -80.561, 1500.6000, -79.846, 1500.6000, -79.865, 1500.6000, -79.393, 1500.6000, -79.087, 1500.6000, -78.971
1500.7000, -80.775, 1500.7000, -80.466, 1500.7000, -79.883, 1500.7000, -79.459, 1500.7000, -79.258, 1500.7000, -79.116, 1500.7000, -78.630
1500.8000, -80.668, 1500.8000, -80.072, 1500.8000, -79.552, 1500.8000, -79.342, 1500.8000, -79.098, 1500.8000, -78.739, 1500.8000, -78.548
1500.9000, -80.150, 1500.9000, -79.921, 1500.9000, -79.383, 1500.9000, -79.004, 1500.9000, -78.792, 1500.9000, -78.437, 1500.9000, -78.192
1501.0000, -79.950, 1501.0000, -79.604, 1501.0000, -79.091, 1501.0000, -78.857, 1501.0000, -78.446, 1501.0000, -78.352, 1501.0000, -78.168
1501.1000, -79.774, 1501.1000, -79.382, 1501.1000, -78.957, 1501.1000, -78.515, 1501.1000, -78.563, 1501.1000, -78.294, 1501.1000, -78.070
1501.2000, -79.612, 1501.2000, -79.230, 1501.2000, -78.732, 1501.2000, -78.408, 1501.2000, -78.106, 1501.2000, -77.927, 1501.2000, -77.845
1501.3000, -79.396, 1501.3000, -79.095, 1501.3000, -78.458, 1501.3000, -78.283, 1501.3000, -78.138, 1501.3000, -77.800, 1501.3000, -77.551
1501.4000, -79.066, 1501.4000, -78.560, 1501.4000, -78.398, 1501.4000, -77.985, 1501.4000, -77.838, 1501.4000, -77.699, 1501.4000, -77.345
1501.5000, -79.094, 1501.5000, -78.419, 1501.5000, -77.949, 1501.5000, -77.801, 1501.5000, -77.714, 1501.5000, -77.549, 1501.5000, -77.014
1501.6000, -78.622, 1501.6000, -78.406, 1501.6000, -77.907, 1501.6000, -77.465, 1501.6000, -77.460, 1501.6000, -77.025, 1501.6000, -76.913
1501.7000, -78.353, 1501.7000, -77.913, 1501.7000, -77.551, 1501.7000, -77.490, 1501.7000, -77.147, 1501.7000, -76.912, 1501.7000, -76.772
1501.8000, -78.310, 1501.8000, -77.895, 1501.8000, -77.415, 1501.8000, -77.135, 1501.8000, -76.911, 1501.8000, -76.765, 1501.8000, -76.517
1501.9000, -78.000, 1501.9000, -77.576, 1501.9000, -77.244, 1501.9000, -76.863, 1501.9000, -76.734, 1501.9000, -76.629, 1501.9000, -76.213
1502.0000, -77.822, 1502.0000, -77.407, 1502.0000, -76.999, 1502.0000, -76.768, 1502.0000, -76.572, 1502.0000, -76.323, 1502.0000, -76.171
1502.1000, -77.625, 1502.1000, -77.232, 1502.1000, -76.800, 1502.1000, -76.557, 1502.1000, -76.482, 1502.1000, -76.241, 1502.1000, -76.072
1502.2000, -77.458, 1502.2000, -77.069, 1502.2000, -76.738, 1502.2000, -76.390, 1502.2000, -76.207, 1502.2000, -75.972, 1502.2000, -75.774
1502.3000, -77.116, 1502.3000, -76.917, 1502.3000, -76.446, 1502.3000, -76.261, 1502.3000, -76.033, 1502.3000, -75.840, 1502.3000, -75.682
1502.4000, -77.053, 1502.4000, -76.700, 1502.4000, -76.220, 1502.4000, -75.938, 1502.4000, -75.869, 1502.4000, -75.601, 1502.4000, -75.562
1502.5000, -76.815, 1502.5000, -76.547, 1502.5000, -76.163, 1502.5000, -75.914, 1502.5000, -75.654, 1502.5000, -75.507, 1502.5000, -75.327
1502.6000, -76.696, 1502.6000, -76.281, 1502.6000, -75.999, 1502.6000, -75.691, 1502.6000, -75.556, 1502.6000, -75.279, 1502.6000, -75.086
1502.7000, -76.445, 1502.7000, -76.214, 1502.7000, -75.794, 1502.7000, -75.399, 1502.7000, -75.348, 1502.7000, -75.055, 1502.7000, -74.935
1502.8000, -76.242, 1502.8000, -76.033, 1502.8000, -75.614, 1502.8000, -75.348, 1502.8000, -75.211, 1502.8000, -74.900, 1502.8000, -74.773
1502.9000, -76.067, 1502.9000, -75.783, 1502.9000, -75.398, 1502.9000, -75.113, 1502.9000, -74.953, 1502.9000, -74.740, 1502.9000, -74.642
1503.0000, -75.905, 1503.0000, -75.575, 1503.0000, -75.255, 1503.0000, -74.916, 1503.0000, -74.839, 1503.0000, -74.660, 1503.0000, -74.365
1503.1000, -75.636, 1503.1000, -75.454, 1503.1000, -75.095, 1503.1000, -74.799, 1503.1000, -74.606, 1503.1000, -74.365, 1503.1000, -74.231
1503.2000, -75.557, 1503.2000, -75.252, 1503.2000, -74.894, 1503.2000, -74.671, 1503.2000, -74.438, 1503.2000, -74.212, 1503.2000, -74.053
1503.3000, -75.291, 1503.3000, -74.947, 1503.3000, -74.673, 1503.3000, -74.453, 1503.3000, -74.232, 1503.3000, -73.977, 1503.3000, -73.866
1503.4000, -75.197, 1503.4000, -74.854, 1503.4000, -74.464, 1503.4000, -74.259, 1503.4000, -74.064, 1503.4000, -73.902, 1503.4000, -73.679
1503.5000, -74.952, 1503.5000, -74.682, 1503.5000, -74.253, 1503.5000, -74.037, 1503.5000, -73.900, 1503.5000, -73.711, 1503.5000, -73.502
