70BCSVG	
// AQ6370C OPTICAL SPECTRUM ANALYZER //                 
"[MEAS SETTING]"
// AQ6370C OPTICAL SPECTRUM ANALYZER //                 
25
"CTRWL",1550.000000
"SPAN", 100.000000
"START WL",1500.000000
"STOP WL",1600.000000
"WLFREQ", 0
"REFL",-51.7
"LSCL", 3.0
"RESLN",0.500
"AVG",   1
"SMPLAUTO",      1
"SMPL",       1001
"SMPLINTVL",0.1000
"HIGH2"
"MEAS"
"LSUNT",0
"NMSKV","OFF"
"RESCOR",0
"SMOOTH",0
"FIBERTYPE",0
"MEASWL",1
"SWPSPD",0
"RESPARM", 9829
"FREQPARM", 9829


"[TRACE SETTING]"
"ACTIVE","A"
"TRACE A","FIX      ",1
"TRACE B","FIX      ",1
"TRACE C","FIX      ",1
"TRACE D","FIX      ",1
"TRACE E","FIX      ",1
"TRACE F","FIX      ",1
"TRACE G","FIX      ",1

"[TRACE A]"
// AQ6370C OPTICAL SPECTRUM ANALYZER //                 
25
"CTRWL",1550.000000
"SPAN", 100.000000
"START WL",1500.000000
"STOP WL",1600.000000
"WLFREQ", 0
"REFL",-51.7
"LSCL", 3.0
"RESLN",0.500
"AVG",   1
"SMPLAUTO",      1
"SMPL",       1001
"SMPLINTVL",0.1000
"HIGH2"
"MEAS"
"LSUNT",0
"NMSKV","OFF"
"RESCOR",0
"SMOOTH",0
"FIBERTYPE",0
"MEASWL",1
"SWPSPD",0
"RESPARM", 9829
"FREQPARM", 9829


"[TRACE B]"
// AQ6370C OPTICAL SPECTRUM ANALYZER //                 
25
"CTRWL",1550.000000
"SPAN", 100.000000
"START WL",1500.000000
"STOP WL",1600.000000
"WLFREQ", 0
"REFL",-51.7
"LSCL", 3.0
"RESLN",0.500
"AVG",   1
"SMPLAUTO",      1
"SMPL",       1001
"SMPLINTVL",0.1000
"HIGH2"
"MEAS"
"LSUNT",0
"NMSKV","OFF"
"RESCOR",0
"SMOOTH",0
"FIBERTYPE",0
"MEASWL",1
"SWPSPD",0
"RESPARM", 9829
"FREQPARM", 9829


"[TRACE C]"
// AQ6370C OPTICAL SPECTRUM ANALYZER //                 
25
"CTRWL",1550.000000
"SPAN", 100.000000
"START WL",1500.000000
"STOP WL",1600.000000
"WLFREQ", 0
"REFL",-51.7
"LSCL", 3.0
"RESLN",0.500
"AVG",   1
"SMPLAUTO",      1
"SMPL",       1001
"SMPLINTVL",0.1000
"HIGH2"
"MEAS"
"LSUNT",0
"NMSKV","OFF"
"RESCOR",0
"SMOOTH",0
"FIBERTYPE",0
"MEASWL",1
"SWPSPD",0
"RESPARM", 9829
"FREQPARM", 9829


"[TRACE D]"
// AQ6370C OPTICAL SPECTRUM ANALYZER //                 
25
"CTRWL",1550.000000
"SPAN", 100.000000
"START WL",1500.000000
"STOP WL",1600.000000
"WLFREQ", 0
"REFL",-51.7
"LSCL", 3.0
"RESLN",0.500
"AVG",   1
"SMPLAUTO",      1
"SMPL",       1001
"SMPLINTVL",0.1000
"HIGH2"
"MEAS"
"LSUNT",0
"NMSKV","OFF"
"RESCOR",0
"SMOOTH",0
"FIBERTYPE",0
"MEASWL",1
"SWPSPD",0
"RESPARM", 9829
"FREQPARM", 9829


"[TRACE E]"
// AQ6370C OPTICAL SPECTRUM ANALYZER //                 
25
"CTRWL",1550.000000
"SPAN", 100.000000
"START WL",1500.000000
"STOP WL",1600.000000
"WLFREQ", 0
"REFL",-51.7
"LSCL", 3.0
"RESLN",0.500
"AVG",   1
"SMPLAUTO",      1
"SMPL",       1001
"SMPLINTVL",0.1000
"HIGH2"
"MEAS"
"LSUNT",0
"NMSKV","OFF"
"RESCOR",0
"SMOOTH",0
"FIBERTYPE",0
"MEASWL",1
"SWPSPD",0
"RESPARM", 9829
"FREQPARM", 9829


"[TRACE F]"
// AQ6370C OPTICAL SPECTRUM ANALYZER //                 
25
"CTRWL",1550.000000
"SPAN", 100.000000
"START WL",1500.000000
"STOP WL",1600.000000
"WLFREQ", 0
"REFL",-51.7
"LSCL", 3.0
"RESLN",0.500
"AVG",   1
"SMPLAUTO",      1
"SMPL",       1001
"SMPLINTVL",0.1000
"HIGH2"
"MEAS"
"LSUNT",0
"NMSKV","OFF"
"RESCOR",0
"SMOOTH",0
"FIBERTYPE",0
"MEASWL",1
"SWPSPD",0
"RESPARM", 9829
"FREQPARM", 9829


"[TRACE G]"
// AQ6370C OPTICAL SPECTRUM ANALYZER //                 
25
"CTRWL",1550.000000
"SPAN", 100.000000
"START WL",1500.000000
"STOP WL",1600.000000
"WLFREQ", 0
"REFL",-51.7
"LSCL", 3.0
"RESLN",0.500
"AVG",   1
"SMPLAUTO",      1
"SMPL",       1001
"SMPLINTVL",0.1000
"HIGH2"
"MEAS"
"LSUNT",0
"NMSKV","OFF"
"RESCOR",0
"SMOOTH",0
"FIBERTYPE",0
"MEASWL",1
"SWPSPD",0
"RESPARM", 9829
"FREQPARM", 9829


"[TRACE DATA]"
"Tr A(WL)","Tr A(LEVEL)[LOG]","Tr B(WL)","Tr B(LEVEL)[LOG]","Tr C(WL)","Tr C(LEVEL)[LOG]","Tr D(WL)","Tr D(LEVEL)[LOG]","Tr E(WL)","Tr E(LEVEL)[LOG]","Tr F(WL)","Tr F(LEVEL)[LOG]","Tr G(WL)","Tr G(LEVEL)[LOG]"
1500.0000, -69.191, 1500.0000, -69.170, 1500.0000, -69.188, 1500.0000, -69.090, 1500.0000, -69.120, 1500.0000, -69.134, 1500.0000, -69.061
1500.1000, -69.152, 1500.1000, -69.143, 1500.1000, -69.130, 1500.1000, -69.045, 1500.1000, -69.065, 1500.1000, -69.093, 1500.1000, -69.016
1500.2000, -69.114, 1500.2000, -69.079, 1500.2000, -69.095, 1500.2000, -68.991, 1500.2000, -69.048, 1500.2000, -69.044, 1500.2000, -68.976
1500.3000, -69.067, 1500.3000, -69.063, 1500.3000, -69.045, 1500.3000, -68.961, 1500.3000, -68.983, 1500.3000, -68.990, 1500.3000, -68.917
1500.4000, -69.041, 1500.4000, -69.021, 1500.4000, -69.001, 1500.4000, -68.898, 1500.4000, -68.944, 1500.4000, -68.945, 1500.4000, -68.872
1500.5000, -69.007, 1500.5000, -69.000, 1500.5000, -68.987, 1500.5000, -68.876, 1500.5000, -68.911, 1500.5000, -68.907, 1500.5000, -68.836
1500.6000, -68.967, 1500.6000, -68.951, 1500.6000, -68.920, 1500.6000, -68.856, 1500.6000, -68.883, 1500.6000, -68.882, 1500.6000, -68.786
1500.7000, -68.954, 1500.7000, -68.921, 1500.7000, -68.920, 1500.7000, -68.829, 1500.7000, -68.835, 1500.7000, -68.839, 1500.7000, -68.761
1500.8000, -68.914, 1500.8000, -68.893, 1500.8000, -68.881, 1500.8000, -68.788, 1500.8000, -68.807, 1500.8000, -68.806, 1500.8000, -68.721
1500.9000, -68.893, 1500.9000, -68.863, 1500.9000, -68.860, 1500.9000, -68.773, 1500.9000, -68.778, 1500.9000, -68.764, 1500.9000, -68.684
1501.0000, -68.853, 1501.0000, -68.805, 1501.0000, -68.835, 1501.0000, -68.738, 1501.0000, -68.737, 1501.0000, -68.727, 1501.0000, -68.666
1501.1000, -68.795, 1501.1000, -68.775, 1501.1000, -68.796, 1501.1000, -68.699, 1501.1000, -68.732, 1501.1000, -68.704, 1501.1000, -68.623
1501.2000, -68.789, 1501.2000, -68.743, 1501.2000, -68.765, 1501.2000, -68.679, 1501.2000, -68.685, 1501.2000, -68.663, 1501.2000, -68.593
1501.3000, -68.733, 1501.3000, -68.727, 1501.3000, -68.756, 1501.3000, -68.655, 1501.3000, -68.660, 1501.3000, -68.638, 1501.3000, -68.563
1501.4000, -68.715, 1501.4000, -68.701, 1501.4000, -68.717, 1501.4000, -68.624, 1501.4000, -68.631, 1501.4000, -68.628, 1501.4000, -68.554
1501.5000, -68.683, 1501.5000, -68.669, 1501.5000, -68.709, 1501.5000, -68.614, 1501.5000, -68.603, 1501.5000, -68.602, 1501.5000, -68.541
1501.6000, -68.673, 1501.6000, -68.661, 1501.6000, -68.692, 1501.6000, -68.600, 1501.6000, -68.592, 1501.6000, -68.574, 1501.6000, -68.526
1501.7000, -68.648, 1501.7000, -68.627, 1501.7000, -68.696, 1501.7000, -68.590, 1501.7000, -68.562, 1501.7000, -68.559, 1501.7000, -68.514
1501.8000, -68.643, 1501.8000, -68.601, 1501.8000, -68.649, 1501.8000, -68.568, 1501.8000, -68.556, 1501.8000, -68.537, 1501.8000, -68.486
1501.9000, -68.608, 1501.9000, -68.583, 1501.9000, -68.638, 1501.9000, -68.540, 1501.9000, -68.529, 1501.9000, -68.512, 1501.9000, -68.473
1502.0000, -68.605, 1502.0000, -68.585, 1502.0000, -68.619, 1502.0000, -68.532, 1502.0000, -68.508, 1502.0000, -68.515, 1502.0000, -68.453
1502.1000, -68.600, 1502.1000, -68.556, 1502.1000, -68.604, 1502.1000, -68.543, 1502.1000, -68.515, 1502.1000, -68.501, 1502.1000, -68.463
1502.2000, -68.594, 1502.2000, -68.560, 1502.2000, -68.587, 1502.2000, -68.527, 1502.2000, -68.514, 1502.2000, -68.511, 1502.2000, -68.478
1502.3000, -68.591, 1502.3000, -68.581, 1502.3000, -68.612, 1502.3000, -68.538, 1502.3000, -68.530, 1502.3000, -68.522, 1502.3000, -68.494
1502.4000, -68.598, 1502.4000, -68.572, 1502.4000, -68.613, 1502.4000, -68.542, 1502.4000, -68.540, 1502.4000, -68.532, 1502.4000, -68.518
1502.5000, -68.612, 1502.5000, -68.594, 1502.5000, -68.633, 1502.5000, -68.574, 1502.5000, -68.559, 1502.5000, -68.570, 1502.5000, -68.533
1502.6000, -68.629, 1502.6000, -68.628, 1502.6000, -68.655, 1502.6000, -68.597, 1502.6000, -68.586, 1502.6000, -68.604, 1502.6000, -68.566
1502.7000, -68.668, 1502.7000, -68.657, 1502.7000, -68.690, 1502.7000, -68.648, 1502.7000, -68.622, 1502.7000, -68.631, 1502.7000, -68.604
1502.8000, -68.709, 1502.8000, -68.692, 1502.8000, -68.719, 1502.8000, -68.675, 1502.8000, -68.686, 1502.8000, -68.658, 1502.8000, -68.665
1502.9000, -68.733, 1502.9000, -68.733, 1502.9000, -68.757, 1502.9000, -68.705, 1502.9000, -68.699, 1502.9000, -68.685, 1502.9000, -68.682
1503.0000, -68.756, 1503.0000, -68.753, 1503.0000, -68.779, 1503.0000, -68.721, 1503.0000, -68.748, 1503.0000, -68.722, 1503.0000, -68.740
1503.1000, -68.778, 1503.1000, -68.777, 1503.1000, -68.806, 1503.1000, -68.763, 1503.1000, -68.779, 1503.1000, -68.767, 1503.1000, -68.749
1503.2000, -68.838, 1503.2000, -68.835, 1503.2000, -68.852, 1503.2000, -68.817, 1503.2000, -68.822, 1503.2000, -68.820, 1503.2000, -68.807
1503.3000, -68.874, 1503.3000, -68.874, 1503.3000, -68.896, 1503.3000, -68.868, 1503.3000, -68.875, 1503.3000, -68.859, 1503.3000, -68.856
1503.4000, -68.902, 1503.4000, -68.900, 1503.4000, -68.928, 1503.4000, -68.891, 1503.4000, -68.901, 1503.4000, -68.899, 1503.4000, -68.859
1503.5000, -68.927, 1503.5000, -68.926, 1503.5000, -68.936, 1503.5000, -68.909, 1503.5000, -68.897, 1503.5000, -68.920, 1503.5000, -68.894
