70BCSVG	
// AQ6370C OPTICAL SPECTRUM ANALYZER //                 
"[MEAS SETTING]"
// AQ6370C OPTICAL SPECTRUM ANALYZER //                 
25
"CTRWL",1550.000000
"SPAN", 140.000000
"START WL",1480.000000
"STOP WL",1620.000000
"WLFREQ", 0
"REFL",-72.2
"LSCL", 3.2
"RESLN",0.500
"AVG",   1
"SMPLAUTO",      1
"SMPL",       1401
"SMPLINTVL",0.1000
"HIGH2"
"MEAS"
"LSUNT",0
"NMSKV","OFF"
"RESCOR",0
"SMOOTH",0
"FIBERTYPE",0
"MEASWL",1
"SWPSPD",0
"RESPARM", 9829
"FREQPARM", 9829


"[TRACE SETTING]"
"ACTIVE","G"
"TRACE A","FIX      ",1
"TRACE B","FIX      ",1
"TRACE C","FIX      ",1
"TRACE D","FIX      ",1
"TRACE E","FIX      ",1
"TRACE F","FIX      ",1
"TRACE G","FIX      ",1

"[TRACE A]"
// AQ6370C OPTICAL SPECTRUM ANALYZER //                 
25
"CTRWL",1550.000000
"SPAN", 140.000000
"START WL",1480.000000
"STOP WL",1620.000000
"WLFREQ", 0
"REFL",-72.2
"LSCL", 3.2
"RESLN",0.500
"AVG",   1
"SMPLAUTO",      1
"SMPL",       1401
"SMPLINTVL",0.1000
"HIGH2"
"MEAS"
"LSUNT",0
"NMSKV","OFF"
"RESCOR",0
"SMOOTH",0
"FIBERTYPE",0
"MEASWL",1
"SWPSPD",0
"RESPARM", 9829
"FREQPARM", 9829


"[TRACE B]"
// AQ6370C OPTICAL SPECTRUM ANALYZER //                 
25
"CTRWL",1550.000000
"SPAN", 140.000000
"START WL",1480.000000
"STOP WL",1620.000000
"WLFREQ", 0
"REFL",-72.2
"LSCL", 3.2
"RESLN",0.500
"AVG",   1
"SMPLAUTO",      1
"SMPL",       1401
"SMPLINTVL",0.1000
"HIGH2"
"MEAS"
"LSUNT",0
"NMSKV","OFF"
"RESCOR",0
"SMOOTH",0
"FIBERTYPE",0
"MEASWL",1
"SWPSPD",0
"RESPARM", 9829
"FREQPARM", 9829


"[TRACE C]"
// AQ6370C OPTICAL SPECTRUM ANALYZER //                 
25
"CTRWL",1550.000000
"SPAN", 140.000000
"START WL",1480.000000
"STOP WL",1620.000000
"WLFREQ", 0
"REFL",-72.2
"LSCL", 3.2
"RESLN",0.500
"AVG",   1
"SMPLAUTO",      1
"SMPL",       1401
"SMPLINTVL",0.1000
"HIGH2"
"MEAS"
"LSUNT",0
"NMSKV","OFF"
"RESCOR",0
"SMOOTH",0
"FIBERTYPE",0
"MEASWL",1
"SWPSPD",0
"RESPARM", 9829
"FREQPARM", 9829


"[TRACE D]"
// AQ6370C OPTICAL SPECTRUM ANALYZER //                 
25
"CTRWL",1550.000000
"SPAN", 140.000000
"START WL",1480.000000
"STOP WL",1620.000000
"WLFREQ", 0
"REFL",-72.2
"LSCL", 3.2
"RESLN",0.500
"AVG",   1
"SMPLAUTO",      1
"SMPL",       1401
"SMPLINTVL",0.1000
"HIGH2"
"MEAS"
"LSUNT",0
"NMSKV","OFF"
"RESCOR",0
"SMOOTH",0
"FIBERTYPE",0
"MEASWL",1
"SWPSPD",0
"RESPARM", 9829
"FREQPARM", 9829


"[TRACE E]"
// AQ6370C OPTICAL SPECTRUM ANALYZER //                 
25
"CTRWL",1550.000000
"SPAN", 140.000000
"START WL",1480.000000
"STOP WL",1620.000000
"WLFREQ", 0
"REFL",-72.2
"LSCL", 3.2
"RESLN",0.500
"AVG",   1
"SMPLAUTO",      1
"SMPL",       1401
"SMPLINTVL",0.1000
"HIGH2"
"MEAS"
"LSUNT",0
"NMSKV","OFF"
"RESCOR",0
"SMOOTH",0
"FIBERTYPE",0
"MEASWL",1
"SWPSPD",0
"RESPARM", 9829
"FREQPARM", 9829


"[TRACE F]"
// AQ6370C OPTICAL SPECTRUM ANALYZER //                 
25
"CTRWL",1550.000000
"SPAN", 140.000000
"START WL",1480.000000
"STOP WL",1620.000000
"WLFREQ", 0
"REFL",-72.2
"LSCL", 3.2
"RESLN",0.500
"AVG",   1
"SMPLAUTO",      1
"SMPL",       1401
"SMPLINTVL",0.1000
"HIGH2"
"MEAS"
"LSUNT",0
"NMSKV","OFF"
"RESCOR",0
"SMOOTH",0
"FIBERTYPE",0
"MEASWL",1
"SWPSPD",0
"RESPARM", 9829
"FREQPARM", 9829


"[TRACE G]"
// AQ6370C OPTICAL SPECTRUM ANALYZER //                 
25
"CTRWL",1550.000000
"SPAN", 140.000000
"START WL",1480.000000
"STOP WL",1620.000000
"WLFREQ", 0
"REFL",-72.2
"LSCL", 3.2
"RESLN",0.500
"AVG",   1
"SMPLAUTO",      1
"SMPL",       1401
"SMPLINTVL",0.1000
"HIGH2"
"MEAS"
"LSUNT",0
"NMSKV","OFF"
"RESCOR",0
"SMOOTH",0
"FIBERTYPE",0
"MEASWL",1
"SWPSPD",0
"RESPARM", 9829
"FREQPARM", 9829


"[TRACE DATA]"
"Tr A(WL)","Tr A(LEVEL)[LOG]","Tr B(WL)","Tr B(LEVEL)[LOG]","Tr C(WL)","Tr C(LEVEL)[LOG]","Tr D(WL)","Tr D(LEVEL)[LOG]","Tr E(WL)","Tr E(LEVEL)[LOG]","Tr F(WL)","Tr F(LEVEL)[LOG]","Tr G(WL)","Tr G(LEVEL)[LOG]"
1480.0000, -98.810, 1480.0000, -99.773, 1480.0000, -94.407, 1480.0000, -98.933, 1480.0000, -90.754, 1480.0000, -90.894, 1480.0000, -92.305
1480.1000, -92.968, 1480.1000, -94.503, 1480.1000, -92.352, 1480.1000, -99.673, 1480.1000, -93.918, 1480.1000, -99.176, 1480.1000, -93.967
1480.2000, -96.421, 1480.2000, -95.526, 1480.2000, -90.264, 1480.2000, -94.119, 1480.2000,-100.555, 1480.2000, -98.987, 1480.2000, -91.896
1480.3000,-101.016, 1480.3000, -91.885, 1480.3000, -91.114, 1480.3000, -91.252, 1480.3000, -93.965, 1480.3000, -97.257, 1480.3000, -94.190
1480.4000,-100.584, 1480.4000, -93.777, 1480.4000, -92.943, 1480.4000, -91.205, 1480.4000, -91.487, 1480.4000, -92.771, 1480.4000, -94.202
1480.5000, -92.734, 1480.5000,-107.224, 1480.5000, -91.430, 1480.5000, -94.937, 1480.5000, -94.288, 1480.5000, -91.078, 1480.5000, -90.956
1480.6000, -92.405, 1480.6000, -96.125, 1480.6000, -93.528, 1480.6000, -93.849, 1480.6000, -91.425, 1480.6000, -93.065, 1480.6000, -92.685
1480.7000, -95.737, 1480.7000, -93.183, 1480.7000,-210.000, 1480.7000, -94.064, 1480.7000, -95.016, 1480.7000, -93.155, 1480.7000, -95.110
1480.8000, -93.642, 1480.8000, -91.732, 1480.8000, -95.677, 1480.8000, -95.042, 1480.8000, -98.779, 1480.8000, -92.136, 1480.8000, -92.719
1480.9000, -94.447, 1480.9000, -92.860, 1480.9000, -94.568, 1480.9000, -93.375, 1480.9000, -97.611, 1480.9000, -96.008, 1480.9000, -93.813
1481.0000, -91.906, 1481.0000, -93.499, 1481.0000, -95.478, 1481.0000, -94.770, 1481.0000, -93.061, 1481.0000, -92.669, 1481.0000, -92.100
1481.1000,-210.000, 1481.1000, -93.366, 1481.1000, -93.407, 1481.1000, -91.820, 1481.1000, -95.148, 1481.1000, -92.805, 1481.1000, -92.454
1481.2000, -97.761, 1481.2000, -96.851, 1481.2000, -91.327, 1481.2000, -91.438, 1481.2000, -90.997, 1481.2000, -93.009, 1481.2000, -91.417
1481.3000,-101.558, 1481.3000, -95.027, 1481.3000,-100.394, 1481.3000, -91.191, 1481.3000, -93.424, 1481.3000, -91.775, 1481.3000, -90.493
1481.4000, -94.207, 1481.4000, -95.298, 1481.4000, -94.461, 1481.4000, -95.119, 1481.4000, -91.535, 1481.4000, -92.954, 1481.4000, -91.524
